"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript", "Prisma", "CSS", "TypeScript JSX", "SQL", "YAML", "comment", "blank", "total"
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 4, 63
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/ln-series-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/origin-data-series-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 6, 51
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/origin-data-series-data.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 8, 43
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/series-calm-judge/box-check.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/series-calm-judge/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/series-calm-judge/ref-ln-income-2-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/series-calm-judge/rel-ln-income-1-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/series-calm-judge/rel-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 7, 62
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/series-calm/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/series-calm/ln-income-1-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 6, 41
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-pre/series-calm/ln-income-2-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 6, 41
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/data-prepare/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 14, 93
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-data-ana/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 7, 55
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-desc/arp-model.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 273, 0, 0, 2, 44, 319
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-desc/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 6, 41
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-desc/ma-model.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 9, 50
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-desc/smooth-time-series.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 12, 94
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-desc/un-smooth-time-series/ex-random-walk.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 26, 179
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-desc/un-smooth-time-series/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-desc/un-smooth-time-series/multi-random-walk.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 26, 188
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/arima-desc/un-smooth-time-series/random-walk.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 23, 160
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/common/cap-title.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 5, 52
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/common/data-display.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/common/gen-data-con.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/common/image-display.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/common/reset-btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/Users/guoyufei/Projects/zhkj-ui/components/lesson/common/tooltip-btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"/Users/guoyufei/Projects/zhkj-ui/components/policy/history-gains.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 24, 14, 199
"/Users/guoyufei/Projects/zhkj-ui/components/policy/income-chart-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 3, 81
"/Users/guoyufei/Projects/zhkj-ui/components/policy/income-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 12, 89
"/Users/guoyufei/Projects/zhkj-ui/components/policy/trade-log.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 21, 11, 170
"/Users/guoyufei/Projects/zhkj-ui/components/share/code-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"/Users/guoyufei/Projects/zhkj-ui/components/share/dataset-select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"/Users/guoyufei/Projects/zhkj-ui/components/share/grid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 27, 162
"/Users/guoyufei/Projects/zhkj-ui/components/share/label-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"/Users/guoyufei/Projects/zhkj-ui/components/share/normal-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 8, 47
"/Users/guoyufei/Projects/zhkj-ui/components/share/stock-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 8, 45
"/Users/guoyufei/Projects/zhkj-ui/components/share/strategy-options.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 49
"/Users/guoyufei/Projects/zhkj-ui/components/share/strategy-select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 8, 47
"/Users/guoyufei/Projects/zhkj-ui/data/code/arima-data-ana.ts", "TypeScript", 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 19, 219
"/Users/guoyufei/Projects/zhkj-ui/data/code/arima.ts", "TypeScript", 0, 0, 0, 0, 375, 0, 0, 0, 0, 0, 0, 54, 429
"/Users/guoyufei/Projects/zhkj-ui/data/debt-data.json", "JSON", 0, 5756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5757
"/Users/guoyufei/Projects/zhkj-ui/data/policy/history-gains.json", "JSON", 0, 1357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1358
"/Users/guoyufei/Projects/zhkj-ui/data/policy/income-view.json", "JSON", 0, 7358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7359
"/Users/guoyufei/Projects/zhkj-ui/data/policy/policy-income.json", "JSON", 0, 2454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2455
"/Users/guoyufei/Projects/zhkj-ui/data/policy/policy.json", "JSON", 0, 820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 821
"/Users/guoyufei/Projects/zhkj-ui/data/policy/simple-income/5c21c0645e1f06000ca63f2a.json", "JSON", 0, 3629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3630
"/Users/guoyufei/Projects/zhkj-ui/data/policy/simple-income/5c340089e052f2000b4b1094.json", "JSON", 0, 18344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18345
"/Users/guoyufei/Projects/zhkj-ui/data/policy/simple-income/5c34020775019f000c97f7b3.json", "JSON", 0, 18344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18345
"/Users/guoyufei/Projects/zhkj-ui/data/policy/simple-income/5c340544ac17c6000cb7e2f9.json", "JSON", 0, 18343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18344
